data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.2797,True,True,False,True
medqa_5_options,f1(macro),0.2359,True,True,False,True
medqa_4_options,acc,0.3504,True,True,False,True
medqa_4_options,f1(macro),0.2332,True,True,False,True
kormedmcqa_pharm,acc,0.3085,True,True,False,True
kormedmcqa_pharm,f1(macro),0.2478,True,True,False,True
kormedmcqa_nurse,acc,0.369,True,True,False,True
kormedmcqa_nurse,f1(macro),0.3084,True,True,False,True
kormedmcqa_doctor,acc,0.2598,True,True,False,True
kormedmcqa_doctor,f1(macro),0.1737,True,True,False,True
kormedmcqa_dentist,acc,0.2602,True,True,False,True
kormedmcqa_dentist,f1(macro),0.2126,True,True,False,True
medqa_5_options,acc,0.3346,False,False,False,False
medqa_5_options,f1(macro),0.2763,False,False,False,False
medqa_4_options,acc,0.3833,False,False,False,False
medqa_4_options,f1(macro),0.3045,False,False,False,False
kormedmcqa_dentist,acc,0.2959,False,False,False,False
kormedmcqa_dentist,f1(macro),0.2418,False,False,False,False
kormedmcqa_doctor,acc,0.2529,False,False,False,False
kormedmcqa_doctor,f1(macro),0.2259,False,False,False,False
kormedmcqa_nurse,acc,0.4772,False,False,False,False
kormedmcqa_nurse,f1(macro),0.3975,False,False,False,False
kormedmcqa_pharm,acc,0.3582,False,False,False,False
kormedmcqa_pharm,f1(macro),0.3011,False,False,False,False
medqa_5_options,acc,0.1595,False,True,False,False
medqa_5_options,f1(macro),0.17,False,True,False,False
medqa_4_options,acc,0.1532,False,True,False,False
medqa_4_options,f1(macro),0.1478,False,True,False,False
kormedmcqa_dentist,acc,0.1097,False,True,False,False
kormedmcqa_dentist,f1(macro),0.0966,False,True,False,False
kormedmcqa_doctor,acc,0.0529,False,True,False,False
kormedmcqa_doctor,f1(macro),0.0607,False,True,False,False
kormedmcqa_nurse,acc,0.0968,False,True,False,False
kormedmcqa_nurse,f1(macro),0.114,False,True,False,False
kormedmcqa_pharm,acc,0.1017,False,True,False,False
kormedmcqa_pharm,f1(macro),0.1183,False,True,False,False
